step,wp0_x,wp0_y,wp1_x,wp1_y,ego_speed,steer,throttle,brake
197,0.6566,0.0293,2.6133,0.1058,5.6009,0.0364,0.7500,0.0000
198,0.6575,0.0299,2.6144,0.1038,6.0106,0.0368,0.7500,0.0000
199,0.6583,0.0281,2.6148,0.1020,5.9754,0.0355,0.7500,0.0000
200,0.6377,0.0506,2.5976,0.1577,7.2088,0.0485,0.0000,0.0000
201,0.6602,0.0550,2.6148,0.1642,7.8332,0.0047,0.0000,1.0000
202,0.6265,0.0463,2.5778,0.1506,7.7030,0.0076,0.0000,1.0000
203,0.6404,0.0534,2.5989,0.1629,7.2968,0.0515,0.1000,0.0000
204,0.6363,0.0521,2.5932,0.1619,6.9856,0.0440,0.1806,0.0000
205,0.6497,0.0609,2.6062,0.1785,6.2400,0.0481,0.7500,0.0000
206,0.6588,0.1005,2.6053,0.2747,5.6139,0.0706,0.7500,0.0000
207,0.6597,0.0864,2.6080,0.2388,5.3350,0.0581,0.7500,0.0000
208,0.6622,0.0864,2.6071,0.2348,5.2532,0.0594,0.7500,0.0000
209,0.6599,0.0761,2.6064,0.2059,5.2754,0.0532,0.7500,0.0000
210,0.6590,0.0714,2.6081,0.1919,5.4324,0.0515,0.7500,0.0000
211,0.6266,0.0434,2.5693,0.1340,5.7128,0.0379,0.7500,0.0000
212,0.6468,0.0440,2.6096,0.1256,5.7681,0.0388,0.7500,0.0000
213,0.6785,0.0257,2.6609,0.0888,6.6857,0.0292,0.7500,0.0000
214,0.6677,0.0312,2.6969,0.0903,7.5160,0.0318,0.7500,0.0000
215,0.6788,0.0280,2.7127,0.0732,8.0435,0.0279,0.0000,0.0000
216,0.6623,0.0473,2.7120,0.1062,8.3320,0.0371,0.0816,0.0000
217,0.6491,0.0904,2.6596,0.1766,8.2895,0.0552,0.0754,0.0000
218,0.6585,0.0544,2.5779,0.1153,8.0956,0.0032,0.0000,1.0000
219,0.6895,0.0456,2.4273,0.1000,7.7443,0.0072,0.0000,1.0000
220,0.6525,0.0453,2.1590,0.0925,7.1901,0.0068,0.0000,1.0000
221,0.5838,0.0658,1.8242,0.1115,6.6679,0.0068,0.0000,1.0000
222,0.4610,0.0602,1.5195,0.0998,4.3446,0.0488,0.0629,0.0000
223,0.4264,0.0603,1.5303,0.0995,1.9520,0.0423,0.7500,0.0000
224,0.3588,0.0493,1.9138,0.1021,2.1439,0.0382,0.7500,0.0000
225,0.2708,0.0423,2.0572,0.1042,2.3652,0.0373,0.7500,0.0000
226,0.2447,0.0419,2.0973,0.1037,2.6892,0.0365,0.7500,0.0000
227,0.2506,0.0447,2.1360,0.1089,3.0820,0.0373,0.7500,0.0000
228,0.3705,0.0576,2.2387,0.1284,3.5220,0.0414,0.7500,0.0000
229,0.5050,0.0638,2.3261,0.1330,3.9710,0.0407,0.7500,0.0000
230,0.5463,0.1009,2.3542,0.1782,4.3826,0.0550,0.7500,0.0000
231,0.5324,0.1174,2.2971,0.2129,4.7816,0.0630,0.7500,0.0000
232,0.5038,0.1291,2.2393,0.2503,5.1798,0.0720,0.7500,0.0000
233,0.5063,0.1321,2.2692,0.1692,5.1782,0.0563,0.7500,0.0000
234,0.4735,0.1137,2.2062,0.1545,5.1808,0.0547,0.7500,0.0000
235,0.3787,0.1030,2.0657,0.1494,5.3264,0.0557,0.7500,0.0000
236,0.4197,0.1524,2.1534,0.2213,5.6451,0.0788,0.7500,0.0000
237,0.2443,0.1696,1.9348,0.2533,5.9131,0.0915,0.3610,0.0000
238,-0.1914,0.1425,1.2953,0.2202,6.1973,0.0007,0.0000,1.0000
239,-0.6642,0.0773,0.5250,0.0984,6.7040,0.0091,0.0000,1.0000
240,-0.7702,0.0632,0.3182,0.0797,6.5083,0.0091,0.0000,1.0000
241,-0.7541,0.0618,0.2997,0.0757,5.0157,0.0091,0.0000,1.0000
242,-0.8018,-0.0003,0.1753,-0.0088,3.0275,0.0127,0.0897,0.0000
243,-0.5065,0.0001,0.6844,-0.0012,1.3029,0.0169,0.7500,0.0000
244,-0.0854,0.0018,1.4082,0.0095,1.6137,0.0187,0.7500,0.0000
245,0.2198,0.0046,1.9050,0.0080,1.8649,0.0172,0.7500,0.0000
246,0.4621,-0.0104,2.2322,-0.0431,2.1812,0.0037,0.7500,0.0000
247,0.5925,-0.0345,2.4363,-0.0917,2.5477,-0.0073,0.7500,0.0000
248,0.5836,-0.0674,2.4019,-0.1468,2.9551,-0.0224,0.7500,0.0000
249,0.5732,-0.0731,2.3874,-0.1555,3.3963,-0.0240,0.7500,0.0000
250,0.5443,-0.0730,2.3494,-0.1581,3.8610,-0.0266,0.7500,0.0000
251,0.5337,-0.0987,2.4123,-0.2059,4.2790,-0.0418,0.7500,0.0000
252,0.5058,-0.0849,2.3810,-0.1868,4.6788,-0.0369,0.7500,0.0000
253,0.4789,-0.0668,2.3585,-0.1544,5.0777,-0.0316,0.7500,0.0000
254,0.4070,-0.0524,2.2614,-0.1209,5.1771,-0.0276,0.7500,0.0000
255,0.2049,-0.0544,1.9836,-0.1190,5.1283,-0.0344,0.7500,0.0000
256,0.0267,-0.0575,1.7679,-0.1512,5.2400,-0.0477,0.7500,0.0000
257,-0.1663,-0.0701,1.5432,-0.1834,5.4816,-0.0652,0.7500,0.0000
258,0.0066,-0.0555,0.7628,-0.0992,5.9332,0.0004,0.0000,1.0000
259,-0.8864,-0.0091,0.0720,-0.0445,5.7913,-0.0057,0.0000,1.0000
260,-1.2108,0.0080,-0.4460,-0.0154,6.1205,-0.0057,0.0000,1.0000
261,-1.2574,0.0086,-0.7847,-0.0057,5.9547,-0.0057,0.0000,1.0000
262,-1.2339,0.0057,-0.9058,-0.0026,4.1907,-0.0057,0.0000,1.0000
263,-1.1887,0.0031,-0.8568,-0.0036,2.3085,-0.0057,0.0000,1.0000
264,-1.0697,0.0017,-0.6012,-0.0026,0.1544,-0.0124,0.7500,0.0000
265,-0.8888,-0.0012,-0.2095,-0.0082,0.0406,-0.0176,0.7500,0.0000
266,-0.6899,-0.0067,0.1943,-0.0210,0.6923,-0.0235,0.7500,0.0000
267,-0.6355,-0.0102,0.4009,-0.0313,0.9752,-0.0263,0.7500,0.0000
268,-0.7412,-0.0083,0.3057,-0.0330,1.2021,-0.0266,0.7500,0.0000
269,-0.1775,-0.0192,0.2070,-0.0300,1.4467,-0.0032,0.0000,1.0000
270,-0.1881,-0.0153,0.2452,-0.0302,0.0014,-0.0264,0.7500,0.0000
271,-0.1693,-0.0136,0.3190,-0.0319,0.2491,-0.0217,0.7500,0.0000
272,-0.1930,-0.0117,0.4307,-0.0362,0.6428,-0.0213,0.7500,0.0000
273,-0.3203,-0.0040,0.8146,-0.0444,0.8738,-0.0194,0.7500,0.0000
274,-0.2273,0.0044,1.1820,-0.0250,1.1183,-0.0093,0.7500,0.0000
275,-0.1235,0.0091,1.4230,-0.0289,1.3727,-0.0097,0.7500,0.0000
276,-0.0186,0.0113,1.6126,-0.0403,1.6161,-0.0107,0.7500,0.0000
277,0.1729,0.0078,1.9013,-0.0700,1.8667,-0.0155,0.7500,0.0000
278,0.3982,-0.0036,2.2035,-0.1177,2.1668,-0.0247,0.7500,0.0000
279,0.4688,-0.0211,2.2862,-0.1681,2.5194,-0.0355,0.7500,0.0000
280,0.4581,-0.0385,2.2559,-0.2161,2.9140,-0.0467,0.7500,0.0000
281,0.3554,-0.0451,2.0951,-0.2370,3.3431,-0.0535,0.7500,0.0000
282,0.1402,-0.0452,1.7746,-0.2264,3.7992,-0.0576,0.7500,0.0000
283,-0.0056,-0.0485,1.5590,-0.2166,4.2211,-0.0619,0.7500,0.0000
284,0.0607,-0.0568,1.6641,-0.2380,4.6242,-0.0671,0.7500,0.0000
285,-0.0830,-0.0526,1.3839,-0.2702,5.0231,-0.0824,0.0000,0.0000
286,-0.1441,-0.0632,1.2607,-0.2756,5.1205,-0.0897,0.1063,0.0000
287,-0.1402,-0.0693,1.2627,-0.2631,4.9376,-0.0880,0.4759,0.0000
288,-0.0896,-0.0721,1.3695,-0.2486,4.8099,-0.0834,0.7500,0.0000
289,-0.0379,-0.0737,1.4857,-0.2302,4.9087,-0.0790,0.7500,0.0000
290,0.0267,-0.0724,1.6096,-0.2050,5.2044,-0.0722,0.7500,0.0000
291,0.0952,-0.0686,1.7194,-0.1778,5.1174,-0.0654,0.7500,0.0000
292,0.1617,-0.0647,1.8169,-0.1512,5.1214,-0.0595,0.7500,0.0000
293,0.2113,-0.0516,1.8675,-0.1118,5.2776,-0.0495,0.7500,0.0000
294,0.2461,-0.0343,1.8834,-0.0733,5.7074,-0.0403,0.7500,0.0000
295,0.2715,-0.0170,1.8677,-0.0441,5.9739,-0.0331,0.0076,0.0000
296,0.2969,0.0088,1.3920,0.0112,5.9775,-0.0110,0.0000,1.0000
297,0.1317,0.0068,0.8954,0.0106,6.6427,-0.0121,0.0000,1.0000
298,-0.2874,0.0080,0.1115,0.0084,6.4284,-0.0118,0.0000,1.0000
299,-0.8455,0.0123,-0.6662,0.0163,4.9801,-0.0114,0.0000,1.0000
300,-1.1188,0.0050,-1.0286,0.0051,3.0514,-0.0108,0.0000,1.0000
301,-1.2833,0.0021,-1.2581,0.0026,0.8713,-0.0102,0.0000,1.0000
302,-1.2852,0.0020,-1.2613,0.0026,0.0015,-0.0094,0.0000,1.0000
303,-1.2784,0.0016,-1.2504,0.0025,0.0018,-0.0087,0.0000,1.0000
304,-1.2508,-0.0003,-1.1950,0.0017,0.0012,-0.0079,0.0000,1.0000
305,-0.8647,0.0000,-0.5513,0.0113,0.0007,-0.0041,0.7500,0.0000
306,-0.8510,0.0012,-0.5340,0.0115,0.0058,-0.0026,0.7500,0.0000
307,-1.2460,0.0004,-1.2052,0.0021,0.0650,-0.0055,0.0000,1.0000
308,-0.9850,0.0038,-0.7697,0.0130,0.0001,-0.0035,0.0000,1.0000
309,-0.9737,0.0043,-0.7495,0.0135,0.0001,-0.0026,0.0000,1.0000
310,-1.2749,-0.0008,-1.2487,0.0008,0.0000,-0.0018,0.0000,1.0000
311,-1.2819,-0.0009,-1.2604,0.0006,0.0000,-0.0012,0.0000,1.0000
312,-1.2871,-0.0010,-1.2698,0.0006,0.0000,-0.0006,0.0000,1.0000
313,-1.2908,-0.0009,-1.2766,0.0006,0.0000,-0.0002,0.0000,1.0000
314,-1.2928,-0.0008,-1.2804,0.0006,0.0000,0.0001,0.0000,1.0000
315,-1.3011,-0.0004,-1.2960,0.0008,0.0000,0.0002,0.0000,1.0000
